all_scores,all_labels,all_trails
[0.34542772],1,enroll/id00800-enroll.wav test/id00800-singing-01-001.wav
[0.19869317],1,enroll/id00800-enroll.wav test/id00800-singing-01-002.wav
[0.14785749],1,enroll/id00800-enroll.wav test/id00800-singing-01-003.wav
[0.05983389],1,enroll/id00800-enroll.wav test/id00800-singing-01-004.wav
[0.292086],1,enroll/id00800-enroll.wav test/id00800-singing-01-005.wav
[0.15281862],1,enroll/id00800-enroll.wav test/id00800-singing-01-006.wav
[0.84942716],1,enroll/id00800-enroll.wav test/id00800-speech-01-001.wav
[0.87457466],1,enroll/id00800-enroll.wav test/id00800-speech-01-004.wav
[0.7807909],1,enroll/id00800-enroll.wav test/id00800-speech-01-005.wav
[0.8565978],1,enroll/id00800-enroll.wav test/id00800-speech-01-006.wav
[0.75231194],1,enroll/id00800-enroll.wav test/id00800-speech-01-007.wav
[0.8435511],1,enroll/id00800-enroll.wav test/id00800-speech-01-008.wav
[0.55242443],1,enroll/id00800-enroll.wav test/id00800-speech-01-009.wav
[0.615775],1,enroll/id00800-enroll.wav test/id00800-speech-01-011.wav
[0.7341666],1,enroll/id00800-enroll.wav test/id00800-speech-01-013.wav
[-0.00639752],0,enroll/id00800-enroll.wav test/id00801-drama-01-001.wav
[-0.07123786],0,enroll/id00800-enroll.wav test/id00801-drama-02-001.wav
[-0.06428711],0,enroll/id00800-enroll.wav test/id00801-drama-02-002.wav
[0.02893839],0,enroll/id00800-enroll.wav test/id00801-drama-02-003.wav
[0.02633083],0,enroll/id00800-enroll.wav test/id00801-drama-02-004.wav
[-0.01738524],0,enroll/id00800-enroll.wav test/id00801-entertainment-01-001.wav
[0.10731687],0,enroll/id00800-enroll.wav test/id00801-entertainment-01-002.wav
[0.07548899],0,enroll/id00800-enroll.wav test/id00801-entertainment-01-003.wav
[0.04857422],0,enroll/id00800-enroll.wav test/id00801-entertainment-01-004.wav
[0.16158766],0,enroll/id00800-enroll.wav test/id00801-entertainment-01-005.wav
[0.02044561],0,enroll/id00800-enroll.wav test/id00801-entertainment-01-006.wav
[0.03954383],0,enroll/id00800-enroll.wav test/id00801-entertainment-01-007.wav
[0.11184558],0,enroll/id00800-enroll.wav test/id00801-entertainment-01-008.wav
[-0.01147706],0,enroll/id00800-enroll.wav test/id00801-entertainment-01-009.wav
[-0.0124785],0,enroll/id00800-enroll.wav test/id00801-entertainment-01-010.wav
[0.00700171],0,enroll/id00800-enroll.wav test/id00801-entertainment-01-011.wav
[-0.00389897],0,enroll/id00800-enroll.wav test/id00801-entertainment-01-012.wav
[0.08698232],0,enroll/id00800-enroll.wav test/id00801-entertainment-01-013.wav
[0.0403981],0,enroll/id00800-enroll.wav test/id00801-entertainment-01-014.wav
[0.07718615],0,enroll/id00800-enroll.wav test/id00801-entertainment-01-015.wav
[0.05017237],0,enroll/id00800-enroll.wav test/id00801-entertainment-01-016.wav
[0.12596153],0,enroll/id00800-enroll.wav test/id00801-entertainment-01-017.wav
[0.13189225],0,enroll/id00800-enroll.wav test/id00801-entertainment-01-018.wav
[-0.01689248],0,enroll/id00800-enroll.wav test/id00801-entertainment-01-019.wav
[0.07797555],0,enroll/id00800-enroll.wav test/id00801-entertainment-01-020.wav
[0.05210529],0,enroll/id00800-enroll.wav test/id00801-entertainment-01-021.wav
[0.06231635],0,enroll/id00800-enroll.wav test/id00801-entertainment-01-022.wav
[0.07453573],0,enroll/id00800-enroll.wav test/id00801-entertainment-01-023.wav
[0.1097122],0,enroll/id00800-enroll.wav test/id00801-entertainment-01-024.wav
[0.06193509],0,enroll/id00800-enroll.wav test/id00801-entertainment-01-025.wav
[0.06178593],0,enroll/id00800-enroll.wav test/id00801-entertainment-01-026.wav
[0.04360718],0,enroll/id00800-enroll.wav test/id00801-entertainment-01-027.wav
[0.02119776],0,enroll/id00800-enroll.wav test/id00801-entertainment-01-028.wav
[-0.06362701],0,enroll/id00800-enroll.wav test/id00801-entertainment-01-029.wav
[0.05073753],0,enroll/id00800-enroll.wav test/id00801-entertainment-01-030.wav
[0.06910717],0,enroll/id00800-enroll.wav test/id00801-entertainment-01-031.wav
[0.07585146],0,enroll/id00800-enroll.wav test/id00801-entertainment-01-032.wav
[0.07109867],0,enroll/id00800-enroll.wav test/id00801-entertainment-01-033.wav
[0.09629196],0,enroll/id00800-enroll.wav test/id00801-entertainment-01-034.wav
[0.03577824],0,enroll/id00800-enroll.wav test/id00801-entertainment-01-035.wav
[-0.01257755],0,enroll/id00800-enroll.wav test/id00801-entertainment-01-036.wav
[0.04506123],0,enroll/id00800-enroll.wav test/id00801-entertainment-01-037.wav
[0.04707453],0,enroll/id00800-enroll.wav test/id00801-entertainment-01-038.wav
[0.07980651],0,enroll/id00800-enroll.wav test/id00801-entertainment-01-039.wav
[-0.0262386],0,enroll/id00800-enroll.wav test/id00801-entertainment-01-040.wav
[0.07569331],0,enroll/id00800-enroll.wav test/id00801-entertainment-01-041.wav
[0.06122245],0,enroll/id00800-enroll.wav test/id00801-entertainment-01-042.wav
[0.08229569],0,enroll/id00800-enroll.wav test/id00801-entertainment-01-043.wav
[0.03649249],0,enroll/id00800-enroll.wav test/id00801-entertainment-01-044.wav
[-0.02724333],0,enroll/id00800-enroll.wav test/id00801-interview-01-001.wav
[-0.08525652],0,enroll/id00800-enroll.wav test/id00801-interview-01-002.wav
[-0.08881466],0,enroll/id00800-enroll.wav test/id00801-interview-01-003.wav
[0.00856081],0,enroll/id00800-enroll.wav test/id00801-interview-01-004.wav
[0.0473623],0,enroll/id00800-enroll.wav test/id00801-interview-01-005.wav
[0.01240602],0,enroll/id00800-enroll.wav test/id00801-interview-01-006.wav
[0.01986952],0,enroll/id00800-enroll.wav test/id00801-interview-01-007.wav
[-0.02033413],0,enroll/id00800-enroll.wav test/id00801-interview-01-008.wav
[0.05053026],0,enroll/id00800-enroll.wav test/id00801-interview-01-009.wav
[0.10978565],0,enroll/id00800-enroll.wav test/id00801-interview-01-010.wav
[-0.03532344],0,enroll/id00800-enroll.wav test/id00801-interview-01-011.wav
[-0.10707527],0,enroll/id00800-enroll.wav test/id00801-interview-02-002.wav
[-0.09987286],0,enroll/id00800-enroll.wav test/id00801-interview-02-003.wav
[-0.09487867],0,enroll/id00800-enroll.wav test/id00801-interview-02-004.wav
[-0.10521882],0,enroll/id00800-enroll.wav test/id00801-interview-02-005.wav
[-0.07849345],0,enroll/id00800-enroll.wav test/id00801-interview-02-006.wav
[-0.09615559],0,enroll/id00800-enroll.wav test/id00801-interview-02-007.wav
[-0.12749696],0,enroll/id00800-enroll.wav test/id00801-interview-02-008.wav
[-0.09046026],0,enroll/id00800-enroll.wav test/id00801-interview-02-009.wav
[-0.05657838],0,enroll/id00800-enroll.wav test/id00801-interview-02-010.wav
[-0.12403121],0,enroll/id00800-enroll.wav test/id00801-interview-02-011.wav
[-0.07560197],0,enroll/id00800-enroll.wav test/id00801-interview-02-013.wav
[-0.06066483],0,enroll/id00800-enroll.wav test/id00801-interview-02-014.wav
[0.08039269],0,enroll/id00800-enroll.wav test/id00801-interview-02-016.wav
[-0.11705106],0,enroll/id00800-enroll.wav test/id00801-interview-02-017.wav
[-0.09420612],0,enroll/id00800-enroll.wav test/id00801-interview-02-018.wav
[-0.0251554],0,enroll/id00800-enroll.wav test/id00801-interview-02-019.wav
